Product_ID,Category,Sub_Category,Product_Name,Cost_Price,List_Price
PR-00001,Furniture,Bookcases,Compact LED Lamp #10,462.08,847.69
PR-00002,Office Supplies,Paper,Wireless Air Purifier - Pack of 12,75.52,139.64
PR-00003,Office Supplies,Appliances,Deluxe Air Purifier - Pack of 9,21.54,32.85
PR-00004,Technology,Machines,Classic Monitor Pro v13,113.92,182.28
PR-00005,Furniture,Bookcases,Eco-Friendly Executive Chair #14,432.59,562.5
PR-00006,Office Supplies,Fasteners,Ergonomic Notebook 5-Pack - Pack of 8,37.01,71.94
PR-00007,Office Supplies,Paper,Ergonomic Heavy Binder - Pack of 18,57.92,78.97
PR-00008,Office Supplies,Envelopes,Deluxe Metal Clips - Pack of 19,52.79,81.82
PR-00009,Technology,Machines,Wireless Monitor Pro v18,617.67,1193.07
PR-00010,Furniture,Furnishings,Classic Executive Chair #19,75.81,125.4
PR-00011,Furniture,Chairs,Deluxe Office Sofa #20,46.21,65.74
PR-00012,Office Supplies,Paper,Modern Heavy Binder - Pack of 4,85.64,146.2
PR-00013,Furniture,Furnishings,Heavy-Duty Drafting Table #22,371.45,556.34
PR-00014,Technology,Copiers,Pro-Series Router Hub v23,684.13,1316.81
PR-00015,Office Supplies,Storage,Deluxe Storage Box - Pack of 14,74.44,143.09
PR-00016,Technology,Phones,Heavy-Duty Router Hub v25,221.06,333.13
PR-00017,Office Supplies,Storage,Wireless Air Purifier - Pack of 4,57.97,90.15
PR-00018,Office Supplies,Appliances,Modern Air Purifier - Pack of 5,42.48,58.05
PR-00019,Office Supplies,Binders,Eco-Friendly Heavy Binder - Pack of 3,70.1,108.43
PR-00020,Furniture,Chairs,Eco-Friendly Drafting Table #29,238.48,317.6
PR-00021,Technology,Phones,Classic SmartPhone X v30,75.17,104.45
PR-00022,Office Supplies,Appliances,Pro-Series Notebook 5-Pack - Pack of 11,38.66,64.4
PR-00023,Office Supplies,Envelopes,Eco-Friendly Heavy Binder - Pack of 16,19.91,26.02
PR-00024,Office Supplies,Storage,Eco-Friendly Air Purifier - Pack of 10,87.08,126.88
PR-00025,Technology,Phones,Pro-Series SmartPhone X v34,558.58,964.52
PR-00026,Office Supplies,Art,Compact Storage Box - Pack of 8,25.89,35.93
PR-00027,Office Supplies,Fasteners,Premium Heavy Binder - Pack of 11,36.6,62.71
PR-00028,Office Supplies,Binders,Classic Notebook 5-Pack - Pack of 12,3.82,5.69
PR-00029,Office Supplies,Binders,Eco-Friendly Air Purifier - Pack of 6,44.4,68.96
PR-00030,Office Supplies,Fasteners,Ergonomic Storage Box - Pack of 18,70.7,126.97
PR-00031,Office Supplies,Paper,Heavy-Duty Heavy Binder - Pack of 7,41.5,58.57
PR-00032,Technology,Phones,Classic SmartPhone X v41,131.76,182.83
PR-00033,Furniture,Tables,Compact File Cabinet #42,393.18,564.87
PR-00034,Technology,Machines,Premium 3D Scanner v43,705.61,1340.36
PR-00035,Furniture,Furnishings,Premium Executive Chair #44,282.93,555.38
PR-00036,Furniture,Bookcases,Eco-Friendly Oak Desk #45,247.13,408.92
PR-00037,Technology,Phones,Modern Router Hub v46,66.88,126.22
PR-00038,Furniture,Tables,Heavy-Duty LED Lamp #47,307.16,580.62
PR-00039,Technology,Machines,Classic SmartPhone X v48,522.26,977.67
PR-00040,Office Supplies,Paper,Pro-Series Heavy Binder - Pack of 17,49.58,79.36
PR-00041,Office Supplies,Fasteners,Ergonomic Heavy Binder - Pack of 13,12.43,24.53
PR-00042,Technology,Machines,Eco-Friendly Power Pack v51,138.25,263.46
PR-00043,Office Supplies,Storage,Compact Heavy Binder - Pack of 6,57.0,86.73
PR-00044,Furniture,Furnishings,Ergonomic Oak Desk #53,142.71,247.95
PR-00045,Furniture,Furnishings,Eco-Friendly LED Lamp #54,471.86,820.85
PR-00046,Technology,Phones,Pro-Series LaserJet 500 v55,417.74,627.17
PR-00047,Furniture,Furnishings,Classic LED Lamp #56,309.58,474.84
PR-00048,Office Supplies,Fasteners,Premium Bubble Envelopes - Pack of 19,55.28,81.43
PR-00049,Office Supplies,Paper,Deluxe Bubble Envelopes - Pack of 16,62.32,95.52
PR-00050,Technology,Copiers,Compact Power Pack v59,682.78,1194.33
PR-00051,Technology,Copiers,Compact Monitor Pro v60,127.85,236.1
