Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority
1,CA-2023-100000,2023-01-01,2023-01-04,Standard Class,CS-00644,PR-00037,567.99,5,0.1,221.46,12.13,Medium
2,CA-2023-100001,2023-01-01,2023-01-08,Standard Class,CS-00411,PR-00300,175.32,2,0.0,50.2,6.32,Medium
3,CA-2023-100002,2023-01-01,2023-01-07,Standard Class,CS-00650,PR-00078,96.78,2,0.0,44.22,3.96,Medium
4,CA-2023-100003,2023-01-01,2023-01-08,Standard Class,CS-00482,PR-00300,122.72,2,0.3,-0.77,4.69,Medium
5,CA-2023-100004,2023-01-01,2023-01-07,Standard Class,CS-00040,PR-00108,318.28,4,0.3,60.07,11.25,Medium
6,CA-2023-100004,2023-01-01,2023-01-07,Standard Class,CS-00040,PR-00014,6584.05,5,0.0,3073.57,89.83,Medium
7,CA-2023-100005,2023-01-01,2023-01-03,First Class,CS-00524,PR-00136,625.84,1,0.0,185.53,14.68,High
8,CA-2023-100006,2023-01-02,2023-01-09,Standard Class,CS-00449,PR-00269,178.74,3,0.0,76.71,6.12,Medium
9,CA-2023-100009,2023-01-03,2023-01-10,Standard Class,CS-00579,PR-00105,318.58,2,0.1,93.89,10.17,Low
10,CA-2023-100008,2023-01-03,2023-01-10,Standard Class,CS-00468,PR-00153,433.74,2,0.0,116.31,9.67,Critical
11,CA-2023-100008,2023-01-03,2023-01-10,Standard Class,CS-00468,PR-00063,117.23,1,0.0,25.94,5.98,Critical
12,CA-2023-100008,2023-01-03,2023-01-10,Standard Class,CS-00468,PR-00061,684.15,3,0.1,245.59,9.86,Critical
13,CA-2023-100007,2023-01-03,2023-01-10,Standard Class,CS-00103,PR-00073,2.37,1,0.5,-3.38,2.54,High
14,CA-2023-100008,2023-01-03,2023-01-10,Standard Class,CS-00468,PR-00065,32.59,1,0.3,-5.41,3.13,Critical
15,CA-2023-100007,2023-01-03,2023-01-10,Standard Class,CS-00103,PR-00053,102.24,2,0.1,26.56,5.34,High
16,CA-2023-100008,2023-01-03,2023-01-10,Standard Class,CS-00468,PR-00164,421.49,1,0.2,32.17,10.16,Critical
17,CA-2023-100013,2023-01-04,2023-01-11,Standard Class,CS-00549,PR-00006,172.66,3,0.2,56.18,5.45,High
18,CA-2023-100013,2023-01-04,2023-01-11,Standard Class,CS-00549,PR-00094,1167.1,3,0.3,-8.55,14.35,High
